1,1,2790-NF103G-301-ND,NF103G-301,LOW VOLTAGE DC MOTORS,,1,0,7.66,7.66
2,1,PTL45-15O0-104A3-ND,PTL45-15O0-104A3,SLIDE POT 100KOHM 0.06W TOP 45MM,,1,0,2.95,2.95
3,1,1568-PRT-18726-ND,PRT-18726,"SMALL SOLAR PANEL - 1.2 WATT, 6",,1,0,15.75,15.75
4,3,296-33612-5-ND,SN7447AN,IC DECODER 1 X 4:1 16DIP,,3,0,3.34,10.02
